business,latitude,longitude,region
"C.U. LAUNDERETTE, INC.",40.77925807,-73.98318476,Upper Manhattan
"H & J LAUNDRY, INC.",40.76993035,-73.95755442,Upper Manhattan
1457 INC.,40.77030663,-73.95123983,Upper Manhattan
STYLE CLEANER & LAUNDRY CORP,40.78029968,-73.94999401,Upper Manhattan
MISR LENOX CORP.,40.8157484,-73.93967111,Upper Manhattan
LIZNEL LAUNDROMAT CORP,40.86661033,-73.92104135,Upper Manhattan
"MEI HE LAUNDROMET, INC.",40.81004421,-73.9438125,Upper Manhattan
"ROBINSON, LEROY",40.80302011,-73.94896557,Upper Manhattan
"JOO, KWANG-SUCK",40.77513547,-73.95327624,Upper Manhattan
DARYA LAUNDROMAT CORP.,40.86462185,-73.92314787,Upper Manhattan
"GREEN CITY CLEANERS, INC.",40.7729322,-73.98950456,Upper Manhattan
W S 409 LAUNDROMAT INC.,40.78351155,-73.97804888,Upper Manhattan
X'TRA KLEEN INC.,40.79295756,-73.97182317,Upper Manhattan
"WATER FALL LAUNDROMAT,,INC.",40.86562457,-73.92043875,Upper Manhattan
WEST 79TH ST. LAUNDROMAT LLC,40.7834541,-73.97908164,Upper Manhattan
A-TIP LAUNDROMAT CORP.,40.76915617,-73.95711086,Upper Manhattan
JESSICA PARK,40.7677246,-73.95309733,Upper Manhattan
"PULLEY, JUNGNAM",40.77023028,-73.95965179,Upper Manhattan
"MAX J. CLEANERS, INC.",40.76736493,-73.95283404,Upper Manhattan
EVERGREEN CLEANERS 144 ST INC.,40.82202977,-73.94252335,Upper Manhattan
"B & M LAUNDROMAT, INC.",40.7704953,-73.95631213,Upper Manhattan
"YUEN, WANDA B Y",40.7711633,-73.95199376,Upper Manhattan
"LCR 7TH AVENUE, LLC",40.80790304,-73.94909548,Upper Manhattan
"BIRDHAR, INC.",40.77479202,-73.9524208,Upper Manhattan
THE MAT WEST CORP.,40.7802009,-73.9500663,Upper Manhattan
"GAO & CHENG, INC.",40.76454607,-73.96007759,Upper Manhattan
"TORRES, CANDIDO",40.82038915,-73.94397718,Upper Manhattan
BANDO CLEANERS INC,40.7755665,-73.98385364,Upper Manhattan
EXCELLENT LAUNDRY SERVICE INC,40.76510031,-73.95949606,Upper Manhattan
YUHHSAN INC.,40.77823314,-73.97663162,Upper Manhattan
FEI'S LAUNDRY & CLEANERS INC.,40.76864889,-73.95846139,Upper Manhattan
"ZHAN, JIAN AI",40.78048442,-73.95195815,Upper Manhattan
"ZHAO, QIANG",40.77121825,-73.95212008,Upper Manhattan
SUPER KINGDOM LAUNDROMAT INC.,40.81605597,-73.94550541,Upper Manhattan
"METRO WASH, INC.",40.82554578,-73.94837379,Upper Manhattan
JIA LIN GU,40.78048442,-73.95195815,Upper Manhattan
"PEOPLES' LAUNDROMAT, INC.",40.81125324,-73.94665089,Upper Manhattan
1717 1ST AVE. CORP.,40.77866846,-73.94807795,Upper Manhattan
