Industry,Business Name,Longitude,Latitude,Location
Garage,"HILARY GARDENS GARAGE CO., LLC",-73.99364974,40.73045755,"(40.73045754511662, -73.99364974329583)"
Garage,SP PLUS CORPORATION,-74.00557292,40.71140621,"(40.71140621475197, -74.00557292183626)"
Garage,RIBAR OWNERS LLC,-74.00180055,40.73441564,"(40.73441564208277, -74.00180054904705)"
Garage,RAINBOW PARKING CORP.,-73.95851236,40.76796272,"(40.76796272075102, -73.95851235821289)"
Garage,206 E. 59TH ST. GARAGE CORP.,-73.96615114,40.76136137,"(40.76136136885068, -73.96615114382787)"
Garage,"124 EAST 63RD STREET REALTY CO., LLC",-73.96690019,40.76494897,"(40.764948965105745, -73.96690019411568)"
Garage,880 FIFTH PARKING LLC,-73.96836676,40.77060629,"(40.770606287747974, -73.9683667645775)"
Garage,333 GARAGE CORP,-73.95887789,40.76649716,"(40.766497160060034, -73.95887788653538)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.98214987,40.73367319,"(40.733673189158175, -73.982149865834)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.96024411,40.76378035,"(40.76378034510823, -73.96024410840386)"
Garage,SP PLUS CORPORATION,-74.01567706,40.71452882,"(40.714528821024324, -74.01567705701206)"
Garage,45 GARAGE LLC,-73.99191419,40.76065242,"(40.760652424498915, -73.99191419121037)"
Garage,"ALFRED CAR PARK, LLC",-73.98605695,40.77140576,"(40.77140576087256, -73.98605694822305)"
